title,body,labels,milestone,owner,status
[Phase 0] Create AI Studio Structure,"## Goal

Create initial repo folders for AI Studio, design, docs, and game.

## Acceptance Criteria

- [ ] ai-studio/ folder exists
- [ ] design/ folder exists
- [ ] game/ folder exists
- [ ] docs/ folder exists
- [ ] README files created

## Owner

ChatGPT

## Dependencies

None

## Expected Files

- `README.md`
- `ai-studio/README.md`
- `design/README.md`
- `game/README.md`

## Definition of Done

- [ ] Acceptance criteria satisfied
- [ ] Relevant docs/code updated
- [ ] Validation notes added
- [ ] Follow-up issues created if needed
- [ ] Kanban card updated

## Required Kanban Update

```txt
Kanban Update

Card:
Status:
Completed:
Changed Files:
Validation:
Follow-up Tasks:
```
",phase-0;P0;documentation;task,M0 - AI Studio,ChatGPT,Backlog
[Phase 0] Create Global Constitution,"## Goal

Create the core governance docs for the AI studio.

## Acceptance Criteria

- [ ] vision.md created
- [ ] principles.md created
- [ ] architecture.md created
- [ ] coding-standards.md created
- [ ] glossary.md created

## Owner

Claude

## Dependencies

None

## Expected Files

- `ai-studio/constitution/vision.md`
- `ai-studio/constitution/principles.md`
- `ai-studio/constitution/architecture.md`
- `ai-studio/constitution/coding-standards.md`
- `ai-studio/constitution/glossary.md`

## Definition of Done

- [ ] Acceptance criteria satisfied
- [ ] Relevant docs/code updated
- [ ] Validation notes added
- [ ] Follow-up issues created if needed
- [ ] Kanban card updated

## Required Kanban Update

```txt
Kanban Update

Card:
Status:
Completed:
Changed Files:
Validation:
Follow-up Tasks:
```
",phase-0;P0;documentation;task,M0 - AI Studio,Claude,Backlog
[Phase 0] Create Kanban Update Protocol,"## Goal

Define mandatory Kanban update workflow.

## Acceptance Criteria

- [ ] Before-start rules defined
- [ ] During-work rules defined
- [ ] Completion update format defined
- [ ] Definition of Done defined

## Owner

ChatGPT

## Dependencies

None

## Expected Files

- `ai-studio/workflows/kanban-update-protocol.md`

## Definition of Done

- [ ] Acceptance criteria satisfied
- [ ] Relevant docs/code updated
- [ ] Validation notes added
- [ ] Follow-up issues created if needed
- [ ] Kanban card updated

## Required Kanban Update

```txt
Kanban Update

Card:
Status:
Completed:
Changed Files:
Validation:
Follow-up Tasks:
```
",phase-0;P0;documentation;task,M0 - AI Studio,ChatGPT,Backlog
[Phase 0] Create AI Role Prompts,"## Goal

Create role prompts for AI studio team.

## Acceptance Criteria

- [ ] Executive roles created
- [ ] Design roles created
- [ ] Engineering roles created
- [ ] QA roles created
- [ ] Every role includes responsibilities and boundaries

## Owner

Claude

## Dependencies

None

## Expected Files

- `ai-studio/roles/`

## Definition of Done

- [ ] Acceptance criteria satisfied
- [ ] Relevant docs/code updated
- [ ] Validation notes added
- [ ] Follow-up issues created if needed
- [ ] Kanban card updated

## Required Kanban Update

```txt
Kanban Update

Card:
Status:
Completed:
Changed Files:
Validation:
Follow-up Tasks:
```
",phase-0;P0;documentation;task,M0 - AI Studio,Claude,Backlog
[Phase 0] Create ADR Template,"## Goal

Create reusable Architecture Decision Record template.

## Acceptance Criteria

- [ ] ADR template created
- [ ] Status/context/decision/consequences included
- [ ] Usage instructions included

## Owner

ChatGPT

## Dependencies

None

## Expected Files

- `ai-studio/templates/adr.md`
- `docs/adr/README.md`

## Definition of Done

- [ ] Acceptance criteria satisfied
- [ ] Relevant docs/code updated
- [ ] Validation notes added
- [ ] Follow-up issues created if needed
- [ ] Kanban card updated

## Required Kanban Update

```txt
Kanban Update

Card:
Status:
Completed:
Changed Files:
Validation:
Follow-up Tasks:
```
",phase-0;P0;documentation;task,M0 - AI Studio,ChatGPT,Backlog
[Phase 0] Create Feature Workflow,"## Goal

Define how features move from idea to done.

## Acceptance Criteria

- [ ] Discovery step defined
- [ ] Design step defined
- [ ] Architecture review step defined
- [ ] Implementation step defined
- [ ] QA/review step defined

## Owner

ChatGPT

## Dependencies

None

## Expected Files

- `ai-studio/workflows/feature-workflow.md`

## Definition of Done

- [ ] Acceptance criteria satisfied
- [ ] Relevant docs/code updated
- [ ] Validation notes added
- [ ] Follow-up issues created if needed
- [ ] Kanban card updated

## Required Kanban Update

```txt
Kanban Update

Card:
Status:
Completed:
Changed Files:
Validation:
Follow-up Tasks:
```
",phase-0;P0;documentation;task,M0 - AI Studio,ChatGPT,Backlog
[Phase 0] Create Bug Workflow,"## Goal

Define bug triage and fix workflow.

## Acceptance Criteria

- [ ] Reproduction requirements defined
- [ ] Root cause section defined
- [ ] Fix validation defined
- [ ] Regression test requirement defined

## Owner

ChatGPT

## Dependencies

None

## Expected Files

- `ai-studio/workflows/bug-workflow.md`

## Definition of Done

- [ ] Acceptance criteria satisfied
- [ ] Relevant docs/code updated
- [ ] Validation notes added
- [ ] Follow-up issues created if needed
- [ ] Kanban card updated

## Required Kanban Update

```txt
Kanban Update

Card:
Status:
Completed:
Changed Files:
Validation:
Follow-up Tasks:
```
",phase-0;P0;documentation;task,M0 - AI Studio,ChatGPT,Backlog
[Phase 0] Create Review Checklists,"## Goal

Create review checklists for architecture, design, code, and QA.

## Acceptance Criteria

- [ ] Architecture checklist created
- [ ] Game design checklist created
- [ ] Code checklist created
- [ ] QA checklist created

## Owner

ChatGPT

## Dependencies

None

## Expected Files

- `ai-studio/workflows/review-workflow.md`

## Definition of Done

- [ ] Acceptance criteria satisfied
- [ ] Relevant docs/code updated
- [ ] Validation notes added
- [ ] Follow-up issues created if needed
- [ ] Kanban card updated

## Required Kanban Update

```txt
Kanban Update

Card:
Status:
Completed:
Changed Files:
Validation:
Follow-up Tasks:
```
",phase-0;P0;documentation;task,M0 - AI Studio,ChatGPT,Backlog
[Phase 1] Design Core Gameplay Loop,"## Goal

Define moment-to-moment, daily, crisis, build, and long-term loops.

## Acceptance Criteria

- [ ] Core loop defined
- [ ] Crisis loop defined
- [ ] Build/upgrade loop defined
- [ ] Social loop defined
- [ ] Progression loop defined

## Owner

Claude

## Dependencies

None

## Expected Files

- `design/core-loop.md`
- `design/player-experience.md`
- `design/game-pillars.md`

## Definition of Done

- [ ] Acceptance criteria satisfied
- [ ] Relevant docs/code updated
- [ ] Validation notes added
- [ ] Follow-up issues created if needed
- [ ] Kanban card updated

## Required Kanban Update

```txt
Kanban Update

Card:
Status:
Completed:
Changed Files:
Validation:
Follow-up Tasks:
```
",phase-1;P0;design;gameplay,M1 - Vision & Core Design,Claude,Backlog
[Phase 1] Design Game Pillars,"## Goal

Define non-negotiable design pillars for the game.

## Acceptance Criteria

- [ ] 3-5 pillars defined
- [ ] Each pillar has examples
- [ ] Anti-pillars defined

## Owner

Claude

## Dependencies

None

## Expected Files

- `design/game-pillars.md`

## Definition of Done

- [ ] Acceptance criteria satisfied
- [ ] Relevant docs/code updated
- [ ] Validation notes added
- [ ] Follow-up issues created if needed
- [ ] Kanban card updated

## Required Kanban Update

```txt
Kanban Update

Card:
Status:
Completed:
Changed Files:
Validation:
Follow-up Tasks:
```
",phase-1;P0;design;gameplay,M1 - Vision & Core Design,Claude,Backlog
